id,product,title,rating,reviewText
10,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Average",3,"Sounds not good (Low Sounds),Other features are same no more extra featured, also camera not look like 50mp"
11,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
The mobile is good but the processor is not good.",5,Mobile Design Is Best But Processor is low quality.
12,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good Product",4,Good Product
13,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good produ",4,Good  quality
14,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
FANTASTIC",4,Good one for normal usage.Cemara averageBattery above averagePerformance Good.Totally User friendly
15,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Good",5,Good
16,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Thik he",4,Paisa wasool
17,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Resmi note 11t 5g",5,Good mobile I am use 1 year +
18,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
????? 11t 5g ????? ?????? ???",5,"The media could not be loaded.
                



 ???? ????? ????? ?? ????? ????? ?????????? ??????"
19,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
normal",3,miui ads is annoying
20,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Super",5,Super
21,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good Product",4,GoodProduct
22,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Cost efficiency",5,I'm writing this review after using it more than 1 year it is very good product for that price
23,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Best",5,Good
24,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Battery issue rest all good",3,Battery heats up so fast with minimal usage
25,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Works amazing and buttery smooth, design kinda boring though",4,"-Phone runs amazing with the dimensity 810 and I only have praise for the performance-90Hz refresh rate is eye opening coming from a 60hz phone-Build is pretty solid and the back has a nice texture that doesnt build up fingerprints much-Redmi has packed the phone with some neat features such as the IR blaster and the surprisingly amazing DAC which redmi didnt even flex about in the marketing. (my headphones sound miles better out of this phone than my laptop smh)-Included phone cover is alright and its nice of redmi to throw one in (hole around headphone jack couldve been bigger though as it interferes with any aux cables with chonky housings.)-Only complaints id have are that the design is kinda mid; doesnt look very amazing, but nothing to complain about either hmhm-Cannot comment on camera quality as I am a pleb who doesnt know how to nitpick at camera quality :P-Included screen protector is reaally bad( its only been under a month and there are already scratches around the lower screen where id be typing). So highly recommend peeling it off and taking your chances with the Gorilla Glass or just getting something aftermarketOverall strongly recommend if you're into a solidly built phone that focuses on getting stuff done rather than sitting around and looking pretty"
26,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Ok for this Amount - need improvement",3,"Sudden dry in battery in 5G, Remaining future ok.. But suddern some default application not working in mobile, like Call, SMS.CAMERA OK But need improvement"
27,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good mobile",4,Like this
28,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Redmi never disappointed me",5,Phone with great performance and satisfied with the camera quality
29,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","2.0 out of 5 stars
Worst quality now",2,"I am sharing this review and feedback after using it 10 months. Recent software update damaged it's motherboard completed and now service centre asked for INR 14,600 for changing  the motherboard as per them there has been leakage however there was liquid drop happened on the phone or it won't dropped/kept at any wet location.At same service centre found multiple customer who faced similar problems in very short span of used redmi phone (recently brought by them), it shows how much quality of product as dropped as product became no1 too early misusing it.I block now people should go with some other brands instead of redmi or Xiaomi products."
30,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good but not fully worthy",4,"I have been using this smartphone since 6 months, so according to my experience this phone lags sometimes and camera is good for daylight pictures than night pictures."
31,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Very nice",5,Good products
32,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Redmi",5,This moblie worth for money.. Good products
33,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
???????  ??.? ??? ?? ??? ??",5,???????? ?? ?????? ???? ??
34,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Best phone",4,It's good phone & battery back up.
35,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Good phone within budget",5,"My last phone was redmi 4 and after 5 years of enjoying it thoroughly and battery draining out faster than I could tolerate, I planned to switch to another. I opted for another redmi because I am used to using phones by this company now and I like them.Good review:1. You could switch data from redmi to redmi with the Mi Mover app. Your new phone will become a mirror image of your old phone. This believe me was such a time saver!2. The phone looks smart and classy3. Battery life is very good and the turbo charger that came with the phone is absolutely fantastic4. If you are not a big fan of expensive phones and can do just with a basic one but still good technology and smart look matter to you, this one is perfect. It fits your pocket well5. User interface is smooth and so far no problemsNot so good review:1. The phone is a little too big especially for women. But these days most phones are big because of their software and hardware technology. So this is not a major issue. You get used to it.2. Camera quality is good but could have been better.Overall review:If you are not too picky about smart phones and want a decent phone within 20K, this one is a very good choice. Go for it."
36,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Nice product and good quality",4,Nice phone over all'and good looking
37,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Redmi Note 11T 5G",5,Nice & Good.
38,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Midrange performer got power to skip 20k phone.",4,"Battery life and performance is good and charging with 33 watt is satisfactory. Could have more little more brightness expected in outdoors. Sound is good and watching media content is pleasing with its thin display edges. Ram management is need to improve, even if it having 6 gb ram plus 2 gb virtual ram features it kills most of apps in the background. Camera is average and need software update along with andriod 12. Front camera is good as compare to back. No any heating or lag issue in day to day uses. Call quality is good, loud and clear but lacks premium phone like quality. 5g capable with mediatek 810 . Security update is slower than low budget mi phones as now I received may month patch and it's already July month. Overall good phone but need improvement through update for sure. If you don't want to spend 20k on phone but need powerful and overall good package then you can go for it as all 5g phone under 20 k has lots of compromise but this has very few."
39,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Like",4,Good
40,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Good Budget segment 5G smartphone",5,"Liked about the looks, features, battery quality, design and water resistant quality or rating.Disliked about the screen quality which is lcd instead of amoled in this price, also the camera module which is bit outdated and the quality."
41,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Bst performance",4,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions and subtitles off, selectedAudio TrackFullscreenThis is a modal window.


 Fast finger print readingBattery life very goodCamera quality lowEverything setisfyWell performedGood looking"
42,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good Product, But Battery Backup isn't as expected",4,"The product is a good budget smartphone.Camera Quality is 5- Star. Display and touch Sensitivity, gestures is good.Fingerprint scanner is slow.The transparent cover sent is extremely tight to fit the phone in.The batter backup is quite unexpected. It's low. The battery drains fast even under normal usage."
43,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
My Redmi Note 5 pro is better than Note 11T",3,"1-Redmi Note 5 Pro having battery 4000 mamp and this Note 11T having 5000 mamp still this is draining fast. I am using half apps compare to note 5 pro.2-My note 5 pro never got hanged in dual WhatsApp and inspite of 6GB RAM in this phone WhatsApp getting hanged. I am not able to attached photos, contacts a blank appearing in that space ?3-Earphone also having very low sound inspite raising it to full4-THIS CALL IS GETTING RECORDED audio getting while recording calls. Unable to disable this found which very BAD.5-Phone contacts edit option is NOT AVAILABLE AT ALL in phone.I and my family now having total 10+ redmi phones but due to this redmi note 11T performance I am not sure, I may think for buying redmi again...I am not returning this as my need of phone is more important than its performance.Secondly I had also send feedback from time to time but not received any revert over mail or on phone from redmi...So this is my feedback.... and choice is yours."
44,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
A very Average phone by Redmi!",3,"Its a new 5G phone, which was recieved in a good original packing. It is supporting 5G mobile network, which has not yet started in India. So I cant comment on that aspect of the phones capability.It has good sound in the earpiece, but its speaker sound is not that great. Mic is good.It catches wifi signals but somehow it tends to miss out on some 5GHZ networks arbitrarily. It just refuses to show all available wifi networks available.Camera is good, but dont expect good macro pics. Video quality is above average. Colours are a bit on the saturated side.Battery life with average use is 1.5 days. I am no gamer, so cant comment about battery life under intense gaming conditions.Finger print reader is on side button. It is not always sensitive. I love the looks of the instrument.I have yet to buy a screen protector. One comes pasted. But being plastic, it catches dust and tiny filth. I need to buy a glass one due to filth. The silicone back cover came with this phone, its nice.I can use IR blaster on phone to run my Atomberg ceiling fans!The phone feels warm sometimes. Phone is worth buying.______________________________________UPDATE AFTER 5 MONTHS OF USE.Taking videos in the sun is impossible. The phone heats and shuts down.Battery life is now just 1 dayIt's not behaving like an 8 Gb RAM phone. It tends to  lag.Overall I WOULD NOT RECOMMEND THIS PHONE NOW. There are definitely better phones you can buy. If you can not evn make 2 min videos outdoors in peace.DONT BUY."
45,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good 5g phone in this price",4,Display is nice. Battery performance is alos ok. Good 5g phone in this price. Pictures are are also very fine.
46,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Excellent",4,Best buy
47,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Bahut sundar",5,Bahut sundar
48,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Super Phone",5,Everything thing is goodDisplayBattery backupPerformanceCameraStereo sound
49,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Budget phone in this range",4,Budget phone in this range.Very smoothly work.Camera quality is poor.
50,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
The feature of the phone",5,The phone comes with 5g which is very important bcse now a days ppl prefer to buy 5g phone so ths is best according to me it's a good product and worth it
51,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
One of the Best Phone in the price range of 17K. But Camera is not good.",5,"3 Days Review:Unique findings:1. RAM Booster is available with a 6GB variant, it gives an additional 2 GB for RAM Booster. So you can have a total of 8GB RAM. But technically it's not similar to the 8GB Variant. 2GB RAM Booster will help you very mildly boost your phone Speed. But yes, you can tell your friends you have an 8GB+128GB variant. :)2. Auto Call Recording will tell the receiver that you are recording this call. to avoid this. You can install Truecaller which will give a separate call recording option that won't tell the receiver about the call recording.3. Charge your Phone when not in use to get a very fast charging than normal. switch off your, mobile data, wifi, hotspot, etc. put on the charge. it will be charged from 0-100% within an hour. Also always plugged in for charging when it reaches 30%-40% battery and stops at 99%. it gives the battery a longer life.4. 90HZ refresh rate will give you smooth operation but it also drains the battery. First, use it with 60HZ and see if you can manage with it, if not you can go for 90HZ.5. Switch to Dark mode, White mode will drain the battery faster compare to Dark mode.6. You can uninstall most of the preinstalled useless apps.7. Camera is good but the camera software is the worst. You can install camera apps like Camera MX or Open Camera for good-quality pictures.8. Put your brightness in Auto, It will adjust as per the surrounding lights also it's a battery saver.9. Finger Print Scanner can only unlock your device. it won't lock your device.10. Avoid locking your phone with the power button. the Power Button won't last long. Always let your phone be locked by itself by the set timer or you can manually lock your phone using the lock option in side of the phone.Next Update after a month."
52,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Phone is Good",4,"Phone is Good, 90 Hertz Refresh rate of Display works Very well.Sometimes Screen Shows Glitches."
53,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
I purchase this phone best price",4,G o o d m o b i l e
54,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
BEAST IN BUDGET",5,"This ia my second mobile, the first one was Redmi Note 5 and I've used it for 4 Years, Now I'm writing this review after 1 Year use and This Phone didn't disappointed me.1)The Battery is at best condition as it was on first day, Charges very fast and doesn't drain, it gets me 1 day (sometimes 2 days) very comfortably2)Camera is also good, The Video Quality is absolutely best (60 FPS), Camera is 50 MP & its actually good3) The performance of this phone is the best part of this phone, the processer is absolutely best, since 1 Year and it never lag or hang once4) For the gamers, this is nice phone, you can play games in very comfort zone, but take 6 GB Ram Piece, it runs very smoother, 90 Hz speed is absolute OP ??5) you can store more data without lagging the phone, it processes so much data without being hang6) Just remember, I've 6 GB Ram + 128 GB Storage (Above details are my opinions about this), you should take 6+128 Product, it's worthy ????"
55,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Nice",5,Super Mobile
56,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good phone but not the best in the segment",4,"The camera should be improved the 50MP camera looks like a 12mp photos taken on an entry-level mobileThe display is quite descent the viewing angles should be betterThe design of this phone makes it the best looking smartphone in the segment especially the Stardust White colour is super attractive and  eye catchyThe battery life is super good all thanks to 6nm processor and 5000mAh batteryEven though i got this at ?12,999/- on the first sale of Amazon Great Indian Festival"
57,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good performance",4,Sab Kuch good h.
58,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good",4,"Phone is good ,but camera need improvement. In low light camera performance is not as shown in product specification .Other things are good."
59,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Hanging problem in this phone",3,This mobile phone not as good as it looks. Because it has hanging problems. Most of the times it gets hang and due to this anything has been opened automatically and sometimes touch doesn't work properly. When it get restart then this phone works properly.
60,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Good to buy for this rate",4,As usual at someplaces lagness comes but good
61,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
The best phone in 2k22 I have purchased in 30sep",4,The best phone in 2k22 I have purchased in 30sep but on 2dec my mobile stolen during this period I have used 7-8 hrs in a day continuesly but there's no lag problem battery life is good the speaker is not good I think in this mobile there is one problem I face
62,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
Value for Money",5,Most reasonable price with Great Features of this MI 11 Note. Awesome Phone and absolute great offer through Amazon Prime.
63,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Nice phone for small budget",4,Nice phone for small budget
64,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","5.0 out of 5 stars
NICE PRODUCT ITS VERY GOOD",5,VERY GOOD PRODUCT....
65,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
One of the best 5g phone under 15-16 k.",4,"Fast charging, side fingerprint working fine, due to an inexpensive 5g mobile in 16 k camera is not very good but fine, main focus is a 5g mobile of redmi in 16k with 6-128 ram-rom pair. Android 12 can be upadated with miui 13, sometimes facing a little lag problem, battery is fine, some additional features are attractive. Better than other realme, iqoo, infinix 5g mobiles which are nearly 16 k."
66,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Bad experience with Redmi",3,After completion of warranty period now sim 1 slot in my phone is not detecting any sim and service center people are asking me to change main board which is almost half the cost of phone.
67,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Review",3,Voice recorder is not working though I am also using redmi note 8 pro where I don't have such problems.
68,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Average phone",4,The phone specs are decent. Build quality and finger print sensors are nice. Camera quality is average but still can take some good pics. Since the processor is a 5g technology battery drain can occur a bit fast but still can long last a day for average users. Overall this phone is ideal for average to moderate users.
69,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","3.0 out of 5 stars
Loud speaker volume very low, small object close up photo not clear or not focusing clearly",3,"Loud speaker volume very low, small object close up photo not clear or not focusing clearly"
70,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
sound quality , calling quality",4,video play sound low and phone calling no of noise not perfect sound all disturbancesome time calling but automatically disconnected this phone worth 11000 to 12000/- worth
71,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","4.0 out of 5 stars
Overall Great but Price is bit high",4,"That was my first review - Phone is working fine, Camera is good, Battery backup Awesome, a little heating issue but its normal, Charging is very fast, Overall I loved this.After using 3-4 months I got to know this is a pathetic mobile, this model have software issue, phone gets turned off automatically...sometimes it just show MI on the startup and nothing happens after that.. it is acting like that from last few days.. I have wasted my money"
